DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
DY11,1416,1754,11536,10015
DY12,347,432,5073,4694
DY13,806,1016,8876,8086
DY14,208,207,3683,3394
E01,11665,9009,18340,9326
E01W,1135,1273,4789,3147
E02,5947,5910,12487,7675
E03,7266,7396,16269,10577
E04,4842,5449,22919,19233
E05,7605,7776,12583,8572
E06,17625,13768,24497,12926
E07,13045,9224,16505,8648
E08,5822,6293,11112,7981
E09,5933,6591,9903,7277
E10,8209,6936,14920,8725
E11,7147,6802,19070,13922
E12,9828,7187,12687,6636
E13,10497,8217,13910,7434
E14,10540,10959,26758,15846
E15,9880,8784,16087,9067
E16,7799,8221,15770,9597
E17,15910,14750,34968,23423
E18,1451,1564,7277,6281
E20,442,541,1722,1074
EC01,16,6,21,6
EC01A,83,67,348,203
EC01M,109,97,465,262
EC01N,321,347,718,385
EC01R,576,664,1527,1027
EC01V,1646,1685,3798,2260
EC01Y,398,409,1072,642
EC02A,129,111,568,297
EC02M,22,9,160,31
EC02N,4,3,31,6
EC02V,4,5,94,26
EC02Y,200,191,1450,1009
EC03N,33,27,143,58
EC03R,22,15,63,29
EC03V,4,1,54,18
EC04A,48,25,142,85
EC04M,17,15,128,52
EC04P,0,0,9,4
EC04R,6,5,43,13
EC04V,29,27,177,99
EC04Y,20,15,119,69
EC47,0,0,4,0
EH00,1,5,1,3
EH01,594,533,1457,1025
EH02,113,106,427,248
EH03,1852,1934,7457,6316
EH04,3832,4303,18060,16147
EH05,1587,1905,6474,5418
EH06,3376,3551,12237,9826
EH07,2830,3090,10287,8079
EH08,1876,1952,5848,4666
EH09,1391,1524,6383,5966
EH10,1960,1892,13001,11601
EH11,3799,3851,10301,7674
EH12,1958,2463,14208,13170
