DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
DE03,536,712,1248,6865,6367,13232
DE04,1158,1471,2629,13324,12278,25602
DE05,825,1175,2000,8190,7293,15483
DE06,741,858,1599,10480,9844,20324
DE07,2386,3153,5539,17713,14873,32586
DE11,1888,2446,4334,16726,14779,31505
DE12,681,860,1541,8577,7773,16350
DE13,1366,1765,3131,16062,14755,30817
DE14,2343,2662,5005,10676,7497,18173
DE15,1254,1505,2759,8497,7072,15569
DE19,0,0,0,0,1,1
DE21,2996,3948,6944,19774,16730,36504
DE22,2668,3083,5751,15667,13279,28946
DE23,5118,5497,10615,18921,14010,32931
DE24,3853,5240,9093,17954,13812,31766
DE44,0,0,0,0,1,1
DE45,226,270,496,3314,3209,6523
DE51,0,0,0,1,0,1
DE55,2090,2694,4784,18979,16355,35334
DE56,1305,1582,2887,15163,14085,29248
DE65,661,820,1481,9253,8762,18015
DE66,0,0,0,0,1,1
DE72,594,832,1426,8161,7633,15794
DE73,583,785,1368,7814,7371,15185
DE74,429,480,909,4744,4175,8919
DE75,874,1060,1934,6433,5585,12018
DG01,1167,1355,2522,9991,9087,19078
DG02,1325,1731,3056,7746,6877,14623
DG03,170,236,406,1811,1707,3518
DG04,206,307,513,1486,1126,2612
DG05,218,244,462,1946,1805,3751
DG06,265,286,551,1906,1806,3712
DG07,442,514,956,4680,4510,9190
DG08,471,625,1096,4788,4320,9108
DG09,783,938,1721,5595,4906,10501
DG10,161,202,363,1505,1335,2840
DG11,473,596,1069,5061,4577,9638
DG12,662,805,1467,4338,3726,8064
DG13,114,140,254,1079,966,2045
DG14,38,40,78,565,504,1069
DG16,149,207,356,1402,1247,2649
DH01,2116,2370,4486,13714,12262,25976
DH02,1352,2000,3352,10715,9009,19724
DH03,1269,1706,2975,9018,7602,16620
DH04,1668,2098,3766,11919,10123,22042
DH05,1012,1555,2567,6862,5450,12312
DH06,1504,2151,3655,12075,10325,22400
DH07,1830,2641,4471,14578,12577,27155
DH08,1749,2355,4104,13710,11856,25566
DH09,1994,2722,4716,11820,9403,21223
DH10,0,0,0,1,0,1
DH11,0,0,0,1,0,1
DL01,2889,3954,6843,15161,11670,26831
DL02,463,547,1010,7221,7096,14317
DL03,2333,2812,5145,14926,12908,27834
DL04,603,778,1381,3094,2342,5436
DL05,1536,1997,3533,9989,8579,18568
DL06,540,663,1203,5876,5453,11329
DL07,348,472,820,5965,5854,11819
DL08,396,535,931,7825,7396,15221
DL09,1993,1272,3265,5253,3555,8808
DL10,601,798,1399,7084,6737,13821
DL11,111,119,230,2178,2089,4267
DL12,352,466,818,4774,4367,9141
